,cond,age,risk-taking,iteration,date,portfolio_cumulative_return,portfolio_std_dev,sharpe_ratio
103,control,15,averse,5,2024-08-31,0.13917213822554042,0.09846234719912211,0.7627669523102536
104,control,15,averse,5,2024-09-30,0.14546661391303628,0.09593658818413384,0.7354965811934279
105,control,15,averse,5,2024-10-31,0.12196163108522229,0.0962940451315504,0.48674140255441545
106,control,15,averse,5,2024-11-30,0.15981828407858045,0.09594972711211482,0.7027507161374165
107,control,15,averse,5,2024-12-31,0.1448319435545955,0.09364907050983956,0.5417770014784639
108,control,15,averse,6,2023-07-31,0.014452398654692722,0.08998942906786066,1.3175096242283708
109,control,15,averse,6,2023-08-31,-0.007268663375333939,0.10175708889379759,-0.8220675154245284
110,control,15,averse,6,2023-09-30,-0.05304468093331438,0.09858416742259468,-2.4168430472117843
111,control,15,averse,6,2023-10-31,-0.053687043079745145,0.09268635981239838,-2.0470563783528952
112,control,15,averse,6,2023-11-30,0.028257847395560143,0.12350063821551542,0.20814018334347395
113,control,15,averse,6,2023-12-31,0.06644502317766277,0.11719481573925641,0.7638672737000471
114,control,15,averse,6,2024-01-31,0.07518420463514452,0.11197980353306138,0.7762528449466466
115,control,15,averse,6,2024-02-29,0.10293539664556572,0.10715621444015706,1.0667945031968014
116,control,15,averse,6,2024-03-31,0.12768665727677098,0.10269131112323311,1.23384280167264
117,control,15,averse,6,2024-04-30,0.0788029408555384,0.10585764343839073,0.4856240202411345
118,control,15,averse,6,2024-05-31,0.12316710782935214,0.10197734958639514,0.8993602930632659
119,control,15,averse,6,2024-06-30,0.1591322439909768,0.09904906143793077,1.1461999703234764
120,control,15,averse,6,2024-07-31,0.1783283072935884,0.09594822799614704,1.2414126341538738
121,control,15,averse,6,2024-08-31,0.21368427562104886,0.09499061342241746,1.4435058651648405
122,control,15,averse,6,2024-09-30,0.2388508197795689,0.09796583828291354,1.443855125135748
123,control,15,averse,6,2024-10-31,0.192986437076357,0.0993097301533487,0.9836592660779312
124,control,15,averse,6,2024-11-30,0.23595180388209802,0.10136097173333065,1.1654898117855905
125,control,15,averse,6,2024-12-31,0.19872468049562841,0.10063068705595177,0.8381259698414586
126,control,15,averse,7,2023-07-31,0.009952298375327295,0.0725460376613624,0.9112247528089769
127,control,15,averse,7,2023-08-31,-0.012536328970704003,0.08151872623004174,-1.3821848323511932
128,control,15,averse,7,2023-09-30,-0.050987291802089496,0.07915441042587892,-2.921523362614883
129,control,15,averse,7,2023-10-31,-0.03639589588483161,0.07730184186008335,-1.8621235715337017
130,control,15,averse,7,2023-11-30,0.040954960915730254,0.10402938140012688,0.5492871437715494
131,control,15,averse,7,2023-12-31,0.0602964886204298,0.0968503798456613,0.7949006719834607
132,control,15,averse,7,2024-01-31,0.08187670865729446,0.09220858744672243,1.0708402563791763
133,control,15,averse,7,2024-02-29,0.125119179430353,0.09054579687868589,1.6460956628575727
134,control,15,averse,7,2024-03-31,0.17015348202326375,0.08819913341223205,2.08912316984426
135,control,15,averse,7,2024-04-30,0.12687409946564454,0.09011423649822813,1.2122154010572246
