,cond,age,risk-taking,iteration,date,portfolio_cumulative_return,portfolio_std_dev,sharpe_ratio
136,control,15,averse,7,2024-05-31,0.05017437292731919,0.08989388357906343,0.1344967839865945
137,control,15,averse,7,2024-06-30,0.08267119186780914,0.08987158614945971,0.43031105246539364
138,control,15,averse,7,2024-07-31,0.11369108849255438,0.08951145144404468,0.6797350412967658
139,control,15,averse,7,2024-08-31,0.13746141457678251,0.08831015133629254,0.8342541741351676
140,control,15,averse,7,2024-09-30,0.1562281129147185,0.08657334492615766,0.9101050157742967
141,control,15,averse,7,2024-10-31,0.13476309835552613,0.08590042468702759,0.6529559909493302
142,control,15,averse,7,2024-11-30,0.16851675086176954,0.08685034629913731,0.8436477810507025
143,control,15,averse,7,2024-12-31,0.15975951492329865,0.08463900640339618,0.710050781153449
144,control,15,averse,8,2023-07-31,0.013642868454631252,0.06552546552101696,1.662913222465846
145,control,15,averse,8,2023-08-31,-0.0005598781720811408,0.0654175792641113,-0.6971764366488632
146,control,15,averse,8,2023-09-30,-0.03319848948483828,0.06029225206726225,-2.7980930116019405
147,control,15,averse,8,2023-10-31,-0.039492921198485575,0.05911271172399496,-2.5757932848577685
148,control,15,averse,8,2023-11-30,0.00352536541696713,0.07153628803628752,-0.47562360632084555
149,control,15,averse,8,2023-12-31,0.02638880532878285,0.06851994410211747,0.1323165283318179
150,control,15,averse,8,2024-01-31,0.032729421784931434,0.06404652700401357,0.2050134492259614
151,control,15,averse,8,2024-02-29,0.044613205406351275,0.06355327337986988,0.3873624987962144
152,control,15,averse,8,2024-03-31,0.0627698145394171,0.06085350352163796,0.6570047262307807
153,control,15,averse,8,2024-04-30,0.048168359073416545,0.06199872902924749,0.2386379190505148
154,control,15,averse,8,2024-05-31,0.07060550109126962,0.06034947673881114,0.5688956178343344
155,control,15,averse,8,2024-06-30,0.08775093562336522,0.0583726026350476,0.747764373509643
156,control,15,averse,8,2024-07-31,0.11090116114540804,0.05616876655392282,1.0383443912152752
157,control,15,averse,8,2024-08-31,0.14541970471385546,0.05650375716693784,1.4216063484440573
158,control,15,averse,8,2024-09-30,0.15620285504946363,0.05659773672893809,1.391778951800701
159,control,15,averse,8,2024-10-31,0.11934091610824749,0.059244004211287,0.7592275309277325
160,control,15,averse,8,2024-11-30,0.13566408455085233,0.06111288736821299,0.8367577585087247
161,control,15,averse,8,2024-12-31,0.11645238302896277,0.060064787359424165,0.5464794169245804
162,control,15,averse,9,2023-07-31,0.01047998121295568,0.053497478267245116,1.3485468716694988
163,control,15,averse,9,2023-08-31,-0.009764050415457914,0.1159964353239527,-0.8404721091126368
164,control,15,averse,9,2023-09-30,-0.05778102088945003,0.10646970876153386,-2.387813115633209
165,control,15,averse,9,2023-10-31,-0.04360918384950141,0.10003402855435349,-1.6318199694030269
166,control,15,averse,9,2023-11-30,0.026350878824353607,0.11593807523771728,0.18138486579744553
167,control,15,averse,9,2023-12-31,0.03163181380714408,0.10666638725869779,0.18220280303992464
168,control,15,averse,9,2024-01-31,0.04200331787373823,0.11039144926933774,0.26340840396756693
169,control,15,averse,9,2024-02-29,0.04308455046488602,0.10625244061852775,0.20986974961752533
170,control,15,averse,9,2024-03-31,0.03653478352312112,0.10316797468538377,0.0521116265166574
171,control,15,averse,9,2024-04-30,0.014896420351272255,0.10440110547797098,-0.23705171981180043
172,control,15,averse,9,2024-05-31,0.07335257991030963,0.10606019759192721,0.3519307274473971
173,control,15,averse,9,2024-06-30,0.12350723078930104,0.1083709832878704,0.7258790541610146
174,control,15,averse,9,2024-07-31,0.13108283847405455,0.10990317840555686,0.6965254767036627
175,control,15,averse,9,2024-08-31,0.1579258601143516,0.10763585298182843,0.843280994283417
176,control,15,averse,9,2024-09-30,0.17871348204571857,0.1053005328977116,0.9110517146460573
177,control,15,averse,9,2024-10-31,0.1409011150493531,0.10542847861809682,0.5738483357654106
178,control,15,averse,9,2024-11-30,0.18662880002604276,0.10538205283810836,0.8103356646401861
179,control,15,averse,9,2024-12-31,0.1882254460378825,0.10299327403983219,0.7557355097060316
180,control,15,neutral,0,2023-07-31,0.04474645034505209,0.15845911634732518,3.371175325063946
181,control,15,neutral,0,2023-08-31,-0.03208447588691676,0.27307714803977795,-0.7840531686438613
182,control,15,neutral,0,2023-09-30,-0.08519196842729637,0.2428125927864977,-1.408573645329683
183,control,15,neutral,0,2023-10-31,-0.11456381696457185,0.21280136572676006,-1.5918549559965673
184,control,15,neutral,0,2023-11-30,0.01767631147403992,0.22828844738900536,-0.0004033489639688436
185,control,15,neutral,0,2023-12-31,0.07363517202615744,0.21413321471015048,0.4869153687167704
186,control,15,neutral,0,2024-01-31,-0.001967329922915928,0.20606212280147593,-0.22165599324257948
187,control,15,neutral,0,2024-02-29,0.10477523021406454,0.20079989687194857,0.5835735738351457
188,control,15,neutral,0,2024-03-31,0.10045947351916507,0.19568425635071313,0.46066019848138345
189,control,15,neutral,0,2024-04-30,0.07180387910993802,0.202128556784608,0.2128619790635401
190,control,15,neutral,0,2024-05-31,0.10728430672684497,0.1974477334823395,0.3765600936053603
191,control,15,neutral,0,2024-06-30,0.1575079793686922,0.190975999559391,0.5861512779164811
192,control,15,neutral,0,2024-07-31,0.20733118118604787,0.20335441372977078,0.7138476295191714
193,control,15,neutral,0,2024-08-31,0.20794501187858772,0.19943463095115052,0.6636920196292349
194,control,15,neutral,0,2024-09-30,0.29954984260648265,0.2024614475838498,0.923212318494385
195,control,15,neutral,0,2024-10-31,0.31039845937251154,0.20156194357561907,0.8931477884694436
196,control,15,neutral,0,2024-11-30,0.49887381915188,0.21147431657397456,1.3551475559820005
197,control,15,neutral,0,2024-12-31,0.5611069938780435,0.2121273891116011,1.4062099486660709
198,control,15,neutral,1,2023-07-31,0.015467930968452004,0.06921092930414743,1.888510759914504
199,control,15,neutral,1,2023-08-31,-0.01896652546306188,0.1638151722333213,-0.8980445428437593
200,control,15,neutral,1,2023-09-30,-0.06959639692566577,0.14863783067424063,-1.971406915258464
201,control,15,neutral,1,2023-10-31,-0.053640437935703944,0.13920374939852226,-1.3621248643597963
202,control,15,neutral,1,2023-11-30,0.035863500462057996,0.15842305512934368,0.28072273635629624
203,control,15,neutral,1,2023-12-31,0.07517557048502277,0.14978042441845987,0.7172852199714493
204,control,15,neutral,1,2024-01-31,0.0671013082963492,0.14832334267187783,0.49028079805641206
205,control,15,neutral,1,2024-02-29,0.1227955236177265,0.1406347699610295,1.0338349521077717
206,control,15,neutral,1,2024-03-31,0.12851054478217883,0.13540936458703742,0.9439186668364629
207,control,15,neutral,1,2024-04-30,0.09090463106310342,0.14256874298318983,0.46239001855995143
208,control,15,neutral,1,2024-05-31,0.1846260789222509,0.14351830540600596,1.1085226952103182
