,cond,age,risk-taking,iteration,date,portfolio_cumulative_return,portfolio_std_dev,sharpe_ratio
40,control,15,averse,2,2023-11-30,0.023058574040286883,0.11223887506850826,0.11568426754332942
41,control,15,averse,2,2023-12-31,0.038851631669804654,0.1042238275674123,0.32423386116505704
42,control,15,averse,2,2024-01-31,0.036994579101660374,0.10764564605111676,0.19000193485770406
43,control,15,averse,2,2024-02-29,0.03490203126519731,0.10364933610275899,0.09565245246125018
44,control,15,averse,2,2024-03-31,0.02607781444108137,0.1008355161520294,-0.08274957161099891
45,control,15,averse,2,2024-04-30,0.00024209902523519844,0.10308810090260398,-0.4083006959248908
46,control,15,averse,2,2024-05-31,0.05828674649880017,0.10425561680082264,0.20063766652275503
47,control,15,averse,2,2024-06-30,0.10822127627695322,0.10716691835033984,0.5943781466318429
48,control,15,averse,2,2024-07-31,0.12125198380760738,0.10933860118564359,0.6189474983464532
49,control,15,averse,2,2024-08-31,0.13819624953089638,0.10771441639398777,0.6896728476464841
50,control,15,averse,2,2024-09-30,0.15801852874825073,0.10581260274983172,0.7575512280772473
51,control,15,averse,2,2024-10-31,0.1251077313537039,0.10503994799722358,0.4678071537377453
52,control,15,averse,2,2024-11-30,0.1569716393060827,0.10457648374342546,0.6264692580548596
53,control,15,averse,2,2024-12-31,0.16811720911237993,0.10250996832594722,0.6372171909759972
54,control,15,averse,3,2023-07-31,0.017991585954467038,0.08034399849078577,2.008637494082023
55,control,15,averse,3,2023-08-31,0.0035543446904156006,0.09800942403917974,-0.22105730216020664
56,control,15,averse,3,2023-09-30,-0.03757378173810877,0.09545246733843375,-1.9319736428642649
57,control,15,averse,3,2023-10-31,-0.027749144292162575,0.08878394445025752,-1.3567502982700534
58,control,15,averse,3,2023-11-30,0.042722122196435564,0.10843578474235788,0.5677003229081865
59,control,15,averse,3,2023-12-31,0.056314427161046954,0.10161404030875767,0.6780964675110185
60,control,15,averse,3,2024-01-31,0.09169814318812697,0.10146094363054299,1.1449807248139936
61,control,15,averse,3,2024-02-29,0.12377350202551507,0.09826285336341942,1.495280670159249
62,control,15,averse,3,2024-03-31,0.14884988539894883,0.09447568311614502,1.643883290656388
63,control,15,averse,3,2024-04-30,0.11193594098160276,0.09708658149749211,0.9395520534973154
64,control,15,averse,3,2024-05-31,0.1540947346070638,0.0940797223771128,1.3348645079606998
65,control,15,averse,3,2024-06-30,0.1901823927055526,0.09250383532271039,1.555632326487313
66,control,15,averse,3,2024-07-31,0.18043646436385252,0.09194826408335705,1.3160328849483203
67,control,15,averse,3,2024-08-31,0.2104576222199006,0.09088461911315651,1.479302817293357
68,control,15,averse,3,2024-09-30,0.2345729566639998,0.09238449113338132,1.496209589359548
69,control,15,averse,3,2024-10-31,0.20179100976191955,0.09325857963065498,1.1144434843352973
70,control,15,averse,3,2024-11-30,0.2635462551361478,0.09465879224073888,1.439723245708763
71,control,15,averse,3,2024-12-31,0.23118828881380327,0.0941634682405516,1.1080116014112504
72,control,15,averse,4,2023-07-31,0.018639920996681214,0.08189631450080581,2.0682126637531075
73,control,15,averse,4,2023-08-31,0.002532278616569128,0.09541308993559282,-0.2898693816798557
74,control,15,averse,4,2023-09-30,-0.04083875741580967,0.09318212486699586,-2.103353347918722
75,control,15,averse,4,2023-10-31,-0.05702857371047543,0.08967858703757373,-2.212378888265617
76,control,15,averse,4,2023-11-30,0.010424386414014553,0.11472808254805807,-0.1530772651132487
77,control,15,averse,4,2023-12-31,0.052536768043647486,0.1135293228699626,0.5396201817080784
78,control,15,averse,4,2024-01-31,0.05691868958013968,0.10712621750882508,0.5127509436954415
79,control,15,averse,4,2024-02-29,0.07926815903824003,0.10129382542263776,0.7663845110001265
80,control,15,averse,4,2024-03-31,0.10158524604614771,0.09760785637832048,0.9389646065094215
81,control,15,averse,4,2024-04-30,0.06221617014728409,0.09874140855573589,0.31962423603045
82,control,15,averse,4,2024-05-31,0.09578162781846311,0.09638311212343134,0.641075797352022
83,control,15,averse,4,2024-06-30,0.11587433701729499,0.0932035304177427,0.7638262906408967
84,control,15,averse,4,2024-07-31,0.14337960959482143,0.09028668315798395,0.97071505052493
85,control,15,averse,4,2024-08-31,0.17549269608290885,0.0890170007119851,1.1841050546095462
86,control,15,averse,4,2024-09-30,0.1982179842518217,0.08822384945248427,1.2553159856820844
87,control,15,averse,4,2024-10-31,0.1748083689533424,0.0879949954473482,0.9632005299642443
88,control,15,averse,4,2024-11-30,0.22747544216251692,0.09077074162931272,1.2397900374609587
